Start date,End date,Duration (days),Country name,Ebola subtype,Reported number of human cases,Reported number of deaths among cases,Reported % of deaths among cases
2012-11-01,2013-01-31,91,Uganda,Sudan virus,6,3,0.5
2012-06-01,2012-11-30,182,Democratic Republic of the Congo,Bundibugyo virus,36,13,0.361
2012-06-01,2012-10-31,152,Uganda,Sudan virus,11,4,0.364
2011-05-01,2011-05-01,0,Uganda,Sudan virus,1,1,1
2008-12-01,2009-02-28,89,Democratic Republic of the Congo,Zaire virus,32,15,0.47
2008-11-01,2008-11-01,0,Philippines,Reston virus,6,0,0
2007-12-01,2008-01-31,61,Uganda,Bundibugyo virus,149,37,0.25
2007-01-01,2007-12-31,364,Democratic Republic of the Congo,Zaire virus,264,187,0.71
2004-01-01,2004-12-31,365,Russia,Zaire virus,1,1,1
2004-01-01,2004-12-31,365,Sudan (South Sudan),Sudan virus,17,7,0.41
2003-11-01,2003-12-31,60,Democratic Republic of the Congo,Zaire virus,35,29,0.83
2002-12-01,2003-04-30,150,Democratic Republic of the Congo,Zaire virus,143,128,0.89
2001-10-01,2002-03-31,181,Democratic Republic of the Congo,Zaire virus,57,43,0.75
2001-10-01,2002-03-31,181,Gabon,Zaire virus,65,53,0.82
2000-01-01,2001-12-31,730,Uganda,Sudan virus,425,224,0.53
1996-01-01,1996-12-31,365,Russia,Zaire virus,1,1,1
1996-01-01,1996-12-31,365,Philippines,Reston virus,0,0,0
1996-01-01,1996-12-31,365,USA,Reston virus,0,0,0
1996-01-01,1996-12-31,365,South Africa,Zaire virus,2,1,0.5
1996-07-01,1997-01-31,214,Gabon,Zaire virus,60,45,0.74
1996-01-01,1996-04-30,120,Gabon,Zaire virus,37,21,0.57
1995-01-01,1995-12-31,364,Democratic Republic of the Congo,Zaire virus,315,250,0.81
1994-01-01,1994-12-31,364,Côte d'Ivoire (Ivory Coast),Taï Forest virus,1,0,0
1994-01-01,1994-12-31,364,Gabon,Zaire virus,52,31,0.6
1992-01-01,1992-12-31,365,Italy,Reston virus,0,0,0
1989-01-01,1990-12-31,729,Philippines,Reston virus,3,0,0
1990-01-01,1990-12-31,364,USA,Reston virus,4,0,0
1989-01-01,1989-12-31,364,USA,Reston virus,0,0,0
1979-01-01,1979-12-31,364,Sudan (South Sudan),Sudan virus,34,22,0.65
1977-01-01,1977-12-31,364,Democratic Republic of the Congo,Zaire virus,1,1,1
1976-01-01,1976-12-31,365,England,Sudan virus,1,0,0
1976-01-01,1976-12-31,365,Sudan (South Sudan),Sudan virus,284,151,0.53
1976-01-01,1976-12-31,365,Democratic Republic of the Congo,Zaire virus,318,280,0.88
