Country,Start date,End date,Duration (days),Ebola subtype,Reported number of human cases,Reported number of deaths among cases,Reported % of deaths among cases
Uganda,2012-11-01,2013-01-31,91.0,Sudan virus,6,3,0.5
Democratic Republic of the Congo,2012-06-01,2012-11-30,182.0,Bundibugyo virus,36,13,0.361
Uganda,2012-06-01,2012-10-31,152.0,Sudan virus,11,4,0.364
Uganda,2011-05-01,2011-05-01,0.0,Sudan virus,1,1,1.0
Democratic Republic of the Congo,2008-12-01,2009-02-28,89.0,Zaire virus,32,15,0.47
Philippines,2008-11-01,2008-11-01,0.0,Reston virus,6,0,0.0
Uganda,2007-12-01,2008-01-31,61.0,Bundibugyo virus,149,37,0.25
Democratic Republic of the Congo,2007-01-01,2007-12-31,364.0,Zaire virus,264,187,0.71
Russia,2004-01-01,2004-12-31,365.0,Zaire virus,1,1,1.0
South Sudan,2004-01-01,2004-12-31,365.0,Sudan virus,17,7,0.41
Republic of the Congo,2003-11-01,2003-12-31,60.0,Zaire virus,35,29,0.83
Republic of the Congo,2002-12-01,2003-04-30,150.0,Zaire virus,143,128,0.89
Republic of the Congo,2001-10-01,2002-03-31,181.0,Zaire virus,57,43,0.75
Gabon,2001-10-01,2002-03-31,181.0,Zaire virus,65,53,0.82
Uganda,2000-01-01,2001-12-31,730.0,Sudan virus,425,224,0.53
Russia,1996-01-01,1996-12-31,365.0,Zaire virus,1,1,1.0
Philippines,1996-01-01,1996-12-31,365.0,Reston virus,0,0,0.0
United States of America,1996-01-01,1996-12-31,365.0,Reston virus,0,0,0.0
South Africa,1996-01-01,1996-12-31,365.0,Zaire virus,2,1,0.5
Gabon,1996-07-01,1997-01-31,214.0,Zaire virus,60,45,0.74
Gabon,1996-01-01,1996-04-30,120.0,Zaire virus,37,21,0.57
Democratic Republic of the Congo,1995-01-01,1995-12-31,364.0,Zaire virus,315,250,0.81
Ivory Coast,1994-01-01,1994-12-31,364.0,Taï Forest virus,1,0,0.0
Gabon,1994-01-01,1994-12-31,364.0,Zaire virus,52,31,0.6
Italy,1992-01-01,1992-12-31,365.0,Reston virus,0,0,0.0
Philippines,1989-01-01,1990-12-31,729.0,Reston virus,3,0,0.0
United States of America,1990-01-01,1990-12-31,364.0,Reston virus,4,0,0.0
United States of America,1989-01-01,1989-12-31,364.0,Reston virus,0,0,0.0
South Sudan,1979-01-01,1979-12-31,364.0,Sudan virus,34,22,0.65
Democratic Republic of the Congo,1977-01-01,1977-12-31,364.0,Zaire virus,1,1,1.0
United Kingdom,1976-01-01,1976-12-31,365.0,Sudan virus,1,0,0.0
South Sudan,1976-01-01,1976-12-31,365.0,Sudan virus,284,151,0.53
Democratic Republic of the Congo,1976-01-01,1976-12-31,365.0,Zaire virus,318,280,0.88
